agency,domain,funding_scheme,ending_year,no_projects,if,ais,avg_if_perc,funding_eur,weig_if,weig_ais,weig_avg_if_perc
NSC,LS6,HARMONIA,2020,1,20.796,5.677,3.17064,257860,80.65,22.02,12.3
NSC,LS6,HARMONIA,2021,2,68.151,20.661,9.94784,573209,118.89,36.04,17.35
NSC,LS6,HARMONIA,2022,4,52.257,11.583,8.89419,949572,55.03,12.2,9.37
NSC,LS6,MAESTRO,2013,1,18.995,5.278,3.32516,530309,35.82,9.95,6.27
NSC,LS6,MAESTRO,2017,1,72.326,26.235,10.28028,697674,103.67,37.6,14.74
NSC,LS6,OPUS,2013,2,9.302,2.715,2.67669,60328,154.19,45,44.37
NSC,LS6,OPUS,2014,9,177.201,62.091,31.10073,778588,227.59,79.75,39.95
NSC,LS6,OPUS,2015,10,127.11,34.876,23.16775,987101,128.77,35.33,23.47
NSC,LS6,OPUS,2016,17,297.605,89.806,55.11654,2016669,147.57,44.53,27.33
NSC,LS6,OPUS,2017,13,249.11,67.014,35.54767,1745720,142.7,38.39,20.36
NSC,LS6,OPUS,2018,19,326.622,88.643,62.16573,3248406,100.55,27.29,19.14
NSC,LS6,OPUS,2019,18,398.485,110.755,62.08515,3513943,113.4,31.52,17.67
NSC,LS6,OPUS,2020,5,55.726,11.845,10.53157,1005715,55.41,11.78,10.47
NSC,LS6,OPUS,2021,26,337.549,88.581,50.89156,6695958,50.41,13.23,7.6
NSC,LS6,OPUS,2022,40,641.759,160.625,93.48944,13822377,46.43,11.62,6.76
NSC,LS6,OPUS,2023,16,71.367,14.391,12.02877,5895148,12.11,2.44,2.04
NSC,LS6,OPUS,2024,14,0,0,0,6110026,0,0,0
NSC,LS6,OPUS,2025,9,2.892,0.666,0.34615,3330599,0.87,0.2,0.1
NSC,LS6,POLONEZ,2019,2,15.408,4.325,2.26533,396355,38.87,10.91,5.72
NSC,LS6,PRELUDIUM,2013,1,2.629,0.723,0.3569,17442,150.73,41.45,20.46
NSC,LS6,PRELUDIUM,2014,5,42.003,16.656,7.83836,297640,141.12,55.96,26.34
NSC,LS6,PRELUDIUM,2015,11,81.767,23.114,15.02868,320814,254.87,72.05,46.85
NSC,LS6,PRELUDIUM,2016,9,78.897,20.171,15.68219,290133,271.93,69.52,54.05
NSC,LS6,PRELUDIUM,2017,15,90.634,24.589,17.15443,398343,227.53,61.73,43.06
NSC,LS6,PRELUDIUM,2018,11,183.898,54.354,26.90178,347652,528.97,156.35,77.38
NSC,LS6,PRELUDIUM,2019,14,127.981,30.275,23.28586,393722,325.05,76.89,59.14
NSC,LS6,PRELUDIUM,2020,13,99.422,23.945,16.39559,391663,253.85,61.14,41.86
NSC,LS6,PRELUDIUM,2021,12,73.478,15.022,13.87603,404902,181.47,37.1,34.27
NSC,LS6,PRELUDIUM,2022,20,47.005,10.222,8.16731,793652,59.23,12.88,10.29
NSC,LS6,PRELUDIUM,2023,6,4.556,0.943,0.74208,292078,15.6,3.23,2.54
NSC,LS6,PRELUDIUM,2024,4,4.225,0.98,0.80996,186666,22.63,5.25,4.34
NSC,LS6,PRELUDIUM BIS,2024,2,0,0,0,247786,0,0,0
NSC,LS6,PRELUDIUM BIS,2025,7,0,0,0,858984,0,0,0
NSC,LS6,SHENG,2023,2,0,0,0,926247,0,0,0
NSC,LS6,SONATA,2014,2,10.407,2.646,2.17872,169535,61.39,15.61,12.85
NSC,LS6,SONATA,2015,1,6.91,1.193,1.34846,176655,39.12,6.75,7.63
NSC,LS6,SONATA,2016,2,27.005,8.9,5.15664,464491,58.14,19.16,11.1
NSC,LS6,SONATA,2017,4,27.843,7.29,2.90567,383180,72.66,19.02,7.58
NSC,LS6,SONATA,2018,6,85.996,26.212,14.48161,717104,119.92,36.55,20.19
NSC,LS6,SONATA,2019,2,26.693,8.191,5.09944,302893,88.13,27.04,16.84
NSC,LS6,SONATA,2020,4,60.962,12.653,10.84431,443182,137.56,28.55,24.47
NSC,LS6,SONATA,2021,6,73.185,17.517,13.19808,825639,88.64,21.22,15.99
NSC,LS6,SONATA,2022,8,75.58,23.647,10.29664,2451329,30.83,9.65,4.2
NSC,LS6,SONATA,2023,6,27.66,7.772,3.83477,1626480,17.01,4.78,2.36
NSC,LS6,SONATA,2024,3,0,0,0,1068351,0,0,0
NSC,LS6,SONATA BIS,2017,1,3.145,0.74,0.9215,166418,18.9,4.45,5.54
NSC,LS6,SONATA BIS,2018,1,69.268,23.028,10.34084,336047,206.13,68.53,30.77
NSC,LS6,SONATA BIS,2019,3,113.293,34.265,20.92037,834175,135.81,41.08,25.08
NSC,LS6,SONATA BIS,2020,2,102.829,30.503,17.21912,631078,162.94,48.33,27.29
NSC,LS6,SONATA BIS,2021,3,38.109,7.584,6.76603,1265392,30.12,5.99,5.35
NSC,LS6,SONATA BIS,2022,5,177.64,47.976,26.19871,2015023,88.16,23.81,13
NSC,LS6,SONATA BIS,2023,2,47.632,13.287,6.18291,1201977,39.63,11.05,5.14
NSC,LS6,SONATA BIS,2024,2,16.282,5.026,3.12938,936639,17.38,5.37,3.34
NSC,LS6,SONATA BIS,2025,3,8.234,2.509,1.52129,2430475,3.39,1.03,0.63
NSC,LS6,SONATA BIS,2026,1,0,0,0,721209,0,0,0
NSC,LS6,SONATINA,2022,1,13.697,5.849,1.58936,250686,54.64,23.33,6.34
NSC,LS6,SYMFONIA,2021,1,157.195,39.297,19.734,1627805,96.57,24.14,12.12
NSC,LS6,UNISONO,2022,1,4.556,0.943,0.74208,165854,27.47,5.69,4.47
NSC,LS7,DAINA,2024,1,3.998,1.261,0.76761,233574,17.12,5.4,3.29
NSC,LS7,ETIUDA,2014,5,58.749,12.766,13.02528,95489,615.24,133.69,136.41
NSC,LS7,ETIUDA,2015,5,43.511,11.037,8.80457,93647,464.63,117.86,94.02
NSC,LS7,ETIUDA,2016,7,90.109,22.11,17.68283,158350,569.05,139.63,111.67
NSC,LS7,ETIUDA,2017,2,18.694,3.931,2.99422,48061,388.96,81.79,62.3
NSC,LS7,ETIUDA,2018,2,10.588,1.855,2.03363,40081,264.16,46.28,50.74
NSC,LS7,ETIUDA,2019,3,8.638,0.943,1.4138,74463,116,12.66,18.99
NSC,LS7,ETIUDA,2020,2,12.284,3.09,2.9098,59873,205.17,51.61,48.6
NSC,LS7,ETIUDA,2021,2,11.856,2.491,2.08252,55278,214.48,45.06,37.67
NSC,LS7,FUGA,2019,1,27.829,7.961,4.07582,142326,195.53,55.94,28.64
NSC,LS7,GRIEG,2023,1,0,0,0,645401,0,0,0
NSC,LS7,HARMONIA,2013,2,11.458,2.601,2.6323,64577,177.43,40.28,40.76
NSC,LS7,HARMONIA,2014,1,42.183,10.082,6.79246,100628,419.2,100.19,67.5
NSC,LS7,HARMONIA,2016,1,15.177,4.401,2.58088,284228,53.4,15.48,9.08
NSC,LS7,HARMONIA,2017,2,40.579,12.71,8.05553,379831,106.83,33.46,21.21
NSC,LS7,HARMONIA,2018,1,27.999,5.879,5.32988,56540,495.21,103.98,94.27
NSC,LS7,HARMONIA,2021,1,2.754,0.552,0.52583,256736,10.73,2.15,2.05
NSC,LS7,HARMONIA,2022,4,58.249,13.508,9.69528,968499,60.14,13.95,10.01
NSC,LS7,MAESTRO,2019,1,8.381,2.406,1.58078,665395,12.6,3.62,2.38
NSC,LS7,OPUS,2013,2,9.895,2.852,2.16706,56384,175.49,50.58,38.43
NSC,LS7,OPUS,2014,16,115.462,30.74,22.16162,1221995,94.49,25.16,18.14
NSC,LS7,OPUS,2015,22,193.848,50.556,39.02595,2138806,90.63,23.64,18.25
NSC,LS7,OPUS,2016,44,779.163,199.863,148.11306,6572761,118.54,30.41,22.53
NSC,LS7,OPUS,2017,45,776.546,188.32,151.57435,5916374,131.25,31.83,25.62
NSC,LS7,OPUS,2018,34,561.764,124.46,108.97012,5464416,102.8,22.78,19.94
NSC,LS7,OPUS,2019,42,1121.956,282.651,176.38066,7776194,144.28,36.35,22.68
NSC,LS7,OPUS,2020,25,572.211,130.617,97.96005,4784551,119.6,27.3,20.47
NSC,LS7,OPUS,2021,43,970.997,228.208,159.55776,10430153,93.1,21.88,15.3
NSC,LS7,OPUS,2022,78,1021.537,227.51,171.51511,22629859,45.14,10.05,7.58
NSC,LS7,OPUS,2023,44,322.349,60.709,53.91205,17080683,18.87,3.55,3.16
NSC,LS7,OPUS,2024,15,65.654,14.703,10.19913,6938277,9.46,2.12,1.47
NSC,LS7,OPUS,2025,23,47.453,9.307,9.39383,11757594,4.04,0.79,0.8
NSC,LS7,POLONEZ,2018,2,41.961,13.625,5.82919,420344,99.83,32.41,13.87
NSC,LS7,POLS,2023,1,0,0,0,203983,0,0,0
NSC,LS7,PRELUDIUM,2012,2,2.55,0.642,0.4022,28837,88.43,22.26,13.95
NSC,LS7,PRELUDIUM,2013,5,15.112,3.177,3.24292,112778,134,28.17,28.75
NSC,LS7,PRELUDIUM,2014,12,33.454,8.495,6.91499,405741,82.45,20.94,17.04
NSC,LS7,PRELUDIUM,2015,28,176.564,42.812,36.85857,874650,201.87,48.95,42.14
NSC,LS7,PRELUDIUM,2016,33,188.966,46.883,41.06193,909606,207.74,51.54,45.14
NSC,LS7,PRELUDIUM,2017,35,250.936,58.463,46.32367,907190,276.61,64.44,51.06
NSC,LS7,PRELUDIUM,2018,29,381.004,83.831,65.18621,813969,468.08,102.99,80.08
NSC,LS7,PRELUDIUM,2019,36,346.747,70.364,61.66212,1048256,330.78,67.12,58.82
NSC,LS7,PRELUDIUM,2020,31,228.809,45.037,41.92153,941214,243.1,47.85,44.54
NSC,LS7,PRELUDIUM,2021,24,120.566,19.38,21.37778,784286,153.73,24.71,27.26
NSC,LS7,PRELUDIUM,2022,60,270.252,50.001,47.19491,2338472,115.57,21.38,20.18
NSC,LS7,PRELUDIUM,2023,24,16.566,2.438,2.68424,1021040,16.22,2.39,2.63
NSC,LS7,PRELUDIUM,2024,8,0,0,0,389994,0,0,0
NSC,LS7,PRELUDIUM BIS,2024,3,0,0,0,361395,0,0,0
NSC,LS7,PRELUDIUM BIS,2025,7,0,0,0,879126,0,0,0
NSC,LS7,SHENG,2022,1,19.871,2.693,3.03308,407628,48.75,6.61,7.44
NSC,LS7,SONATA,2014,2,10.299,2.591,1.72162,185744,55.45,13.95,9.27
NSC,LS7,SONATA,2015,7,65.954,14.822,12.55091,897149,73.52,16.52,13.99
NSC,LS7,SONATA,2016,12,141.255,31.837,27.62748,1266418,111.54,25.14,21.82
NSC,LS7,SONATA,2017,11,235.819,54.387,47.48619,1119140,210.71,48.6,42.43
NSC,LS7,SONATA,2018,17,426.565,92.083,80.51492,2149059,198.49,42.85,37.47
NSC,LS7,SONATA,2019,10,167.548,38.31,26.20006,1247806,134.27,30.7,21
NSC,LS7,SONATA,2020,17,353.533,68.52,61.08298,2092691,168.94,32.74,29.19
NSC,LS7,SONATA,2021,17,167.757,31.976,29.24153,2446842,68.56,13.07,11.95
NSC,LS7,SONATA,2022,18,237.224,46.46,33.30514,3101231,76.49,14.98,10.74
NSC,LS7,SONATA,2023,10,33.022,6.333,6.07674,2133113,15.48,2.97,2.85
NSC,LS7,SONATA,2024,7,7.996,2.522,1.53522,2102353,3.8,1.2,0.73
NSC,LS7,SONATA BIS,2017,1,38.795,10.204,7.01303,348483,111.33,29.28,20.12
NSC,LS7,SONATA BIS,2018,1,60.705,10.865,11.34981,348173,174.35,31.21,32.6
NSC,LS7,SONATA BIS,2019,2,106.74,24.208,21.47966,485820,219.71,49.83,44.21
NSC,LS7,SONATA BIS,2020,1,31.334,5.636,6.16127,348581,89.89,16.17,17.68
NSC,LS7,SONATA BIS,2021,1,29.701,7.121,4.98872,232093,127.97,30.68,21.49
NSC,LS7,SONATA BIS,2022,2,39.943,8.504,6.66967,649699,61.48,13.09,10.27
NSC,LS7,SONATA BIS,2023,5,232.424,45.867,35.79413,2181656,106.54,21.02,16.41
NSC,LS7,SONATA BIS,2024,4,26.297,5.318,3.28841,1837125,14.31,2.89,1.79
NSC,LS7,SONATA BIS,2025,3,15.113,3.796,1.71809,1743619,8.67,2.18,0.99
NSC,LS7,SONATINA,2021,1,22.12,5.108,3.91325,183925,120.27,27.77,21.28
NSC,LS7,SONATINA,2022,3,45.021,6.982,5.34465,632195,71.21,11.04,8.45
NSC,LS7,SONATINA,2023,2,5.573,0.795,0.92623,473720,11.76,1.68,1.96
NSC,LS7,SYMFONIA,2021,1,194.863,36.578,35.33131,1303488,149.49,28.06,27.11
NSC,LS7,UNISONO,2019,1,39.843,11.216,6.56498,63956,622.98,175.37,102.65
NSC,LS7,UNISONO,2022,2,8.26,1.649,1.6135,521752,15.83,3.16,3.09
NSC,LS8,BEETHOVEN LIFE,2023,1,0,0,0,141239,0,0,0
NSC,LS8,DAINA,2022,1,13.748,2.733,2.40691,233116,58.97,11.72,10.32
NSC,LS8,ETIUDA,2014,3,1.914,0.712,1.03571,49909,38.35,14.27,20.75
NSC,LS8,ETIUDA,2015,5,34.893,12.02,9.39506,91821,380.01,130.91,102.32
NSC,LS8,ETIUDA,2016,5,87.277,31.157,20.79318,104927,831.79,296.94,198.17
NSC,LS8,ETIUDA,2017,6,30.718,9.306,8.37523,111180,276.29,83.7,75.33
NSC,LS8,ETIUDA,2018,1,13.423,5.727,1.68423,25224,532.16,227.05,66.77
NSC,LS8,ETIUDA,2019,9,54.456,13.979,12.31626,209077,260.46,66.86,58.91
NSC,LS8,ETIUDA,2020,10,60.415,20.856,14.05688,282205,214.08,73.9,49.81
NSC,LS8,ETIUDA,2021,6,16.792,6.147,4.56799,163526,102.69,37.59,27.93
NSC,LS8,FUGA,2013,1,4.376,1.275,1.39583,44163,99.09,28.87,31.61
NSC,LS8,FUGA,2015,3,31.439,10.366,9.81926,311988,100.77,33.23,31.47
NSC,LS8,FUGA,2016,2,30.937,10.689,8.49934,205349,150.66,52.05,41.39
NSC,LS8,FUGA,2017,1,25.3,9.066,6.69327,137744,183.67,65.82,48.59
NSC,LS8,FUGA,2018,1,12.501,5.734,2.28207,104651,119.45,54.79,21.81
NSC,LS8,FUGA,2019,5,113.447,36.522,26.81157,643977,176.17,56.71,41.63
NSC,LS8,GRIEG,2023,2,0,0,0,2961193,0,0,0
NSC,LS8,HARMONIA,2013,1,17.54,7.652,4.4499,66686,263.02,114.75,66.73
NSC,LS8,HARMONIA,2015,2,16.687,5.812,3.981,160437,104.01,36.23,24.81
NSC,LS8,HARMONIA,2016,1,24.114,8.967,6.18755,107784,223.73,83.19,57.41
NSC,LS8,HARMONIA,2017,2,26.374,9.1,6.31653,205064,128.61,44.38,30.8
NSC,LS8,HARMONIA,2018,1,20.233,8.664,2.83873,399493,50.65,21.69,7.11
NSC,LS8,HARMONIA,2019,1,34.442,8.371,7.54772,285093,120.81,29.36,26.47
NSC,LS8,HARMONIA,2021,1,4.236,1.248,0.75368,127204,33.3,9.81,5.92
NSC,LS8,HARMONIA,2022,4,13.73,4.092,4.05681,848925,16.17,4.82,4.78
NSC,LS8,MAESTRO,2015,2,112.196,35.382,29.65422,1278102,87.78,27.68,23.2
NSC,LS8,MAESTRO,2018,2,81.401,31.875,13.78182,1226198,66.38,25.99,11.24
NSC,LS8,MAESTRO,2022,1,83.094,30.34,11.73113,613442,135.46,49.46,19.12
NSC,LS8,MAESTRO,2025,1,0,0,0,1146330,0,0,0
NSC,LS8,OPUS,2013,3,18.847,6.434,5.09149,107274,175.69,59.98,47.46
NSC,LS8,OPUS,2014,12,120.903,42.384,27.31122,724273,166.93,58.52,37.71
NSC,LS8,OPUS,2015,25,263.477,75.361,73.3087,2021906,130.31,37.27,36.26
NSC,LS8,OPUS,2016,31,417.846,144.099,95.34789,2649369,157.72,54.39,35.99
NSC,LS8,OPUS,2017,29,321.19,107.875,86.58374,2780494,115.52,38.8,31.14
NSC,LS8,OPUS,2018,19,366.561,126.58,77.03777,2524828,145.18,50.13,30.51
NSC,LS8,OPUS,2019,20,337.678,106.85,77.8171,2784479,121.27,38.37,27.95
NSC,LS8,OPUS,2020,28,365.229,105.574,85.72823,4309392,84.75,24.5,19.89
NSC,LS8,OPUS,2021,19,233.739,64.134,47.01981,3091301,75.61,20.75,15.21
NSC,LS8,OPUS,2022,59,599.49,177.347,133.38023,12418629,48.27,14.28,10.74
NSC,LS8,OPUS,2023,33,147.604,47.381,25.97755,9762262,15.12,4.85,2.66
NSC,LS8,OPUS,2024,13,15.393,2.018,3.69462,4766394,3.23,0.42,0.78
NSC,LS8,OPUS,2025,12,7.991,2.887,1.62134,4074022,1.96,0.71,0.4
NSC,LS8,POLONEZ,2018,3,55.662,20.461,11.38472,505866,110.03,40.45,22.51
NSC,LS8,POLONEZ,2019,2,10.21,2.117,2.15745,391575,26.07,5.41,5.51
NSC,LS8,PRELUDIUM,2012,1,2.826,0.885,0.71125,17442,162.02,50.74,40.78
NSC,LS8,PRELUDIUM,2013,6,41.685,14.397,10.71696,117586,354.51,122.44,91.14
NSC,LS8,PRELUDIUM,2014,13,107.658,37.519,29.23288,400430,268.86,93.7,73
NSC,LS8,PRELUDIUM,2015,14,67.065,21.662,14.76479,464149,144.49,46.67,31.81
NSC,LS8,PRELUDIUM,2016,26,207.713,68.777,54.63927,799569,259.78,86.02,68.34
NSC,LS8,PRELUDIUM,2017,19,189.397,64.134,37.59185,591486,320.21,108.43,63.55
NSC,LS8,PRELUDIUM,2018,16,123.789,36.177,31.72292,458562,269.95,78.89,69.18
NSC,LS8,PRELUDIUM,2019,16,114.356,35.81,26.08037,503595,227.08,71.11,51.79
NSC,LS8,PRELUDIUM,2020,18,125.959,32.869,31.5043,553660,227.5,59.37,56.9
NSC,LS8,PRELUDIUM,2021,22,78.575,24.148,19.01382,657201,119.56,36.74,28.93
NSC,LS8,PRELUDIUM,2022,36,108.559,34.521,27.60285,1533967,70.77,22.5,17.99
NSC,LS8,PRELUDIUM,2023,16,55.647,13.317,11.56315,717080,77.6,18.57,16.13
NSC,LS8,PRELUDIUM,2024,6,0,0,0,280631,0,0,0
NSC,LS8,PRELUDIUM BIS,2024,3,6.273,2.542,1.50953,368509,17.02,6.9,4.1
NSC,LS8,PRELUDIUM BIS,2025,6,0,0,0,743373,0,0,0
NSC,LS8,SONATA,2014,1,1.111,0.235,0.35746,39151,28.38,6,9.13
NSC,LS8,SONATA,2015,3,22.053,7.136,6.29995,292594,75.37,24.39,21.53
NSC,LS8,SONATA,2016,5,105.386,39.664,17.47663,608621,173.16,65.17,28.72
NSC,LS8,SONATA,2017,2,27.61,8.608,6.44652,240853,114.63,35.74,26.77
NSC,LS8,SONATA,2018,4,51.129,16.733,14.0923,472355,108.24,35.42,29.83
NSC,LS8,SONATA,2019,7,141.481,36.206,26.49318,776951,182.1,46.6,34.1
NSC,LS8,SONATA,2020,4,54.815,17.532,11.34711,636780,86.08,27.53,17.82
NSC,LS8,SONATA,2021,7,83.754,26.534,15.36279,974987,85.9,27.21,15.76
NSC,LS8,SONATA,2022,17,92.208,27.451,20.63959,2606615,35.37,10.53,7.92
NSC,LS8,SONATA,2023,6,24.118,8.771,3.70914,1460338,16.52,6.01,2.54
NSC,LS8,SONATA,2024,5,0,0,0,1422568,0,0,0
NSC,LS8,SONATA BIS,2017,1,13.558,4.762,4.4055,347093,39.06,13.72,12.69
NSC,LS8,SONATA BIS,2020,1,19.18,7.508,5.39988,348086,55.1,21.57,15.51
NSC,LS8,SONATA BIS,2021,2,35.382,12.703,6.46798,789877,44.79,16.08,8.19
NSC,LS8,SONATA BIS,2022,7,138.489,48.299,26.318,3188433,43.43,15.15,8.25
NSC,LS8,SONATA BIS,2023,4,81.843,28.629,24.61087,2109979,38.79,13.57,11.66
NSC,LS8,SONATA BIS,2024,1,0,0,0,813522,0,0,0
NSC,LS8,SONATA BIS,2025,3,6.774,2.991,1.53587,1956290,3.46,1.53,0.79
NSC,LS8,SONATA BIS,2026,2,0,0,0,1291372,0,0,0
NSC,LS8,SONATINA,2021,3,116.125,44.77,17.50029,361240,321.46,123.93,48.45
NSC,LS8,SONATINA,2022,6,10.724,1.855,3.24563,1050266,10.21,1.77,3.09
NSC,LS8,SONATINA,2023,4,10.685,1.981,3.02904,708705,15.08,2.8,4.27
NSC,LS8,SYMFONIA,2016,1,52.569,12.348,10.40459,684915,76.75,18.03,15.19
NSC,LS8,UNISONO,2020,4,178.923,53.853,32.81876,1244531,143.77,43.27,26.37
NSC,LS8,UNISONO,2022,1,4.448,1.614,0.90125,200753,22.16,8.04,4.49
NSC,LS8,UNISONO,2023,5,39.216,13.036,6.35317,1296985,30.24,10.05,4.9
NSC,LS8,UWERTURA,2020,1,66.343,26.056,6.75628,21358,3106.22,1219.96,316.33
NSC,LS8,UWERTURA,2022,1,0,0,0,25147,0,0,0
NSC,LS9,ETIUDA,2014,4,26.196,7.768,5.86302,75895,345.16,102.35,77.25
NSC,LS9,ETIUDA,2015,3,27.069,4.865,5.0198,55598,486.87,87.5,90.29
NSC,LS9,ETIUDA,2016,2,14.173,2.89,2.71556,36777,385.38,78.58,73.84
NSC,LS9,ETIUDA,2017,3,15.237,3.957,3.71921,57710,264.03,68.57,64.45
NSC,LS9,ETIUDA,2018,1,0,0,0,23524,0,0,0
NSC,LS9,ETIUDA,2019,1,3.594,1.249,0.70507,27459,130.89,45.49,25.68
NSC,LS9,ETIUDA,2020,6,27.592,6.882,5.79774,162602,169.69,42.32,35.66
NSC,LS9,ETIUDA,2021,2,22.385,5.792,3.95818,48042,465.95,120.56,82.39
NSC,LS9,FUGA,2015,2,22.954,4.514,4.65444,184186,124.62,24.51,25.27
NSC,LS9,FUGA,2016,1,6.215,1.605,1.58788,126884,48.98,12.65,12.51
NSC,LS9,FUGA,2017,2,26.294,4.751,5.52841,260233,101.04,18.26,21.24
NSC,LS9,FUGA,2018,1,10.53,3.522,2.09672,134767,78.13,26.13,15.56
NSC,LS9,GRIEG,2023,1,0,0,0,1485785,0,0,0
NSC,LS9,HARMONIA,2014,3,24.221,7.195,6.26135,371744,65.16,19.35,16.84
NSC,LS9,HARMONIA,2015,1,3.289,0.735,0.72959,216480,15.19,3.4,3.37
NSC,LS9,HARMONIA,2016,2,50.701,14.572,12.08776,324470,156.26,44.91,37.25
NSC,LS9,HARMONIA,2017,1,123.555,51.396,17.41873,180381,684.97,284.93,96.57
NSC,LS9,HARMONIA,2018,1,12.152,3.895,2.36017,145721,83.39,26.73,16.2
NSC,LS9,HARMONIA,2020,3,55.94,12.82,10.79516,798046,70.1,16.06,13.53
NSC,LS9,HARMONIA,2021,1,14.073,3.247,4.07644,256206,54.93,12.67,15.91
NSC,LS9,HARMONIA,2022,3,19.379,4.238,3.78283,602250,32.18,7.04,6.28
NSC,LS9,MAESTRO,2017,1,49.966,12.284,9.97826,595542,83.9,20.63,16.75
NSC,LS9,MAESTRO,2019,3,181.545,67.656,23.8763,1903165,95.39,35.55,12.55
NSC,LS9,OPUS,2013,1,10.321,2.134,2.51459,28763,358.83,74.19,87.42
NSC,LS9,OPUS,2014,31,270.493,68.047,71.90198,2550190,106.07,26.68,28.19
NSC,LS9,OPUS,2015,36,422.632,106.594,109.85849,3553586,118.93,30,30.91
NSC,LS9,OPUS,2016,47,592.686,152.693,136.67743,5326129,111.28,28.67,25.66
NSC,LS9,OPUS,2017,44,635.479,145.85,149.35079,5935368,107.07,24.57,25.16
NSC,LS9,OPUS,2018,43,555.956,139.506,117.32413,6297124,88.29,22.15,18.63
NSC,LS9,OPUS,2019,45,784.758,173.393,157.10695,7091445,110.66,24.45,22.15
NSC,LS9,OPUS,2020,39,662.786,166.412,122.50447,7075349,93.68,23.52,17.31
NSC,LS9,OPUS,2021,42,634.259,135.367,129.75541,7989083,79.39,16.94,16.24
NSC,LS9,OPUS,2022,90,930.099,190.104,163.38137,22562010,41.22,8.43,7.24
NSC,LS9,OPUS,2023,41,184.958,41.192,39.12965,13018822,14.21,3.16,3.01
NSC,LS9,OPUS,2024,27,23.503,4.393,3.54365,9432935,2.49,0.47,0.38
NSC,LS9,OPUS,2025,22,4.556,0.943,0.74208,9014627,0.51,0.1,0.08
NSC,LS9,OPUS LAP,2024,1,0,0,0,327527,0,0,0
NSC,LS9,POLONEZ,2019,1,21.342,6.588,3.27799,213599,99.92,30.84,15.35
NSC,LS9,POLONEZ,2020,1,6.156,2.241,1.56676,211668,29.08,10.59,7.4
NSC,LS9,PRELUDIUM,2012,4,21.347,4.886,5.18926,62082,343.85,78.7,83.59
NSC,LS9,PRELUDIUM,2013,15,35.239,9.074,9.55925,361426,97.5,25.11,26.45
NSC,LS9,PRELUDIUM,2014,21,83.016,20.558,21.19909,753731,110.14,27.27,28.13
NSC,LS9,PRELUDIUM,2015,28,183.228,45.072,44.65128,985228,185.98,45.75,45.32
NSC,LS9,PRELUDIUM,2016,36,262.086,61.05,54.55648,964409,271.76,63.3,56.57
NSC,LS9,PRELUDIUM,2017,42,300.894,69.733,69.65146,1308691,229.92,53.28,53.22
NSC,LS9,PRELUDIUM,2018,37,251.824,54.855,53.73329,1010443,249.22,54.29,53.18
NSC,LS9,PRELUDIUM,2019,41,285.392,59.54,60.4558,1135355,251.37,52.44,53.25
NSC,LS9,PRELUDIUM,2020,26,174.108,33.938,33.70081,779914,223.24,43.52,43.21
NSC,LS9,PRELUDIUM,2021,32,278.218,57.671,47.94807,1084981,256.43,53.15,44.19
NSC,LS9,PRELUDIUM,2022,68,248.595,46.401,50.2857,2610721,95.22,17.77,19.26
NSC,LS9,PRELUDIUM,2023,26,65.226,14.703,11.88555,1143400,57.05,12.86,10.39
NSC,LS9,PRELUDIUM,2024,9,11.801,2.955,1.97432,436669,27.03,6.77,4.52
NSC,LS9,PRELUDIUM BIS,2024,9,2.644,0.483,0.59877,1073979,2.46,0.45,0.56
NSC,LS9,PRELUDIUM BIS,2025,7,0,0,0,844317,0,0,0
NSC,LS9,SHENG,2022,1,0,0,0,123070,0,0,0
NSC,LS9,SONATA,2014,5,52.311,14.173,12.88892,401860,130.17,35.27,32.07
NSC,LS9,SONATA,2015,9,73.443,17.775,18.20043,825941,88.92,21.52,22.04
NSC,LS9,SONATA,2016,13,167.432,44.399,41.51389,1822641,91.86,24.36,22.78
NSC,LS9,SONATA,2017,15,238.395,59.763,58.75181,1779471,133.97,33.58,33.02
NSC,LS9,SONATA,2018,18,298.787,62.348,63.54777,2156870,138.53,28.91,29.46
NSC,LS9,SONATA,2019,11,174.545,31.597,37.35913,1288513,135.46,24.52,28.99
NSC,LS9,SONATA,2020,8,120.898,30.196,22.52093,950470,127.2,31.77,23.69
NSC,LS9,SONATA,2021,15,184.833,35.529,33.0457,2133895,86.62,16.65,15.49
NSC,LS9,SONATA,2022,17,118.531,24.088,22.12283,2967861,39.94,8.12,7.45
NSC,LS9,SONATA,2023,7,12.354,0.479,3.23657,1826368,6.76,0.26,1.77
NSC,LS9,SONATA,2024,3,0,0,0,564369,0,0,0
NSC,LS9,SONATA BIS,2016,1,19.742,5.457,4.37665,241679,81.69,22.58,18.11
NSC,LS9,SONATA BIS,2018,2,32.313,9.668,7.31596,559574,57.75,17.28,13.07
NSC,LS9,SONATA BIS,2019,1,30.983,9.329,7.87517,345581,89.65,27,22.79
NSC,LS9,SONATA BIS,2020,2,55.089,13.406,16.26583,667349,82.55,20.09,24.37
NSC,LS9,SONATA BIS,2021,2,106.46,19.305,20.31558,587140,181.32,32.88,34.6
NSC,LS9,SONATA BIS,2022,2,71.116,26.873,8.41987,781614,90.99,34.38,10.77
NSC,LS9,SONATA BIS,2024,2,8.958,2.133,1.66302,1132851,7.91,1.88,1.47
NSC,LS9,SONATA BIS,2026,2,0,0,0,1375215,0,0,0
NSC,LS9,SONATINA,2022,3,31.488,9.428,4.06249,679993,46.31,13.86,5.97
NSC,LS9,SONATINA,2023,2,0,0,0,462561,0,0,0
